K,Sg,F(Sg),Sr,F(Sr),(Sg+ U Sg-)*,F(Sg+ U Sg-)*,(Sr+ U Sr-)*,F(Sr+ U Sr-)*,F(S*),S*,F(Sg)/F(S*),F(Sr)/F(S*),F(Sg+ U Sg-)* / F(S*),F(Sr+ U Sr-)* / F(S*),BFtime,r,n,m,dataset,graphid
1,{2},186.4421409278641,{7},174.05268589855925,{2},186.4421409278641,{6},182.0482094728457,186.4421409278641,{2},1.0,0.9335479899144774,1.0,0.9764327343960375,0.07494878768920898,8.0,206,39,studentmath (30),8
2,"{2, 28}",191.67117604617604,"{1, 7}",179.0149483487527,"{2, 28}",191.67117604617604,"{0, 6}",186.9065249808671,191.67117604617604,"{2, 28}",1.0,0.9339690611885519,1.0,0.9751415358136004,1.4326467514038086,8.0,206,39,studentmath (30),8
3,"{24, 2, 28}",194.14141414141412,"{1, 18, 7}",183.81582029082028,"{24, 2, 28}",194.14141414141412,"{0, 27, 6}",188.8286741036741,194.14141414141415,"{24, 2, 28}",0.9999999999999999,0.9468140587300317,0.9999999999999999,0.972634689711953,17.93161702156067,8.0,206,39,studentmath (30),8
4,"{24, 9, 2, 28}",195.8080808080808,"{1, 18, 15, 7}",184.1939759071338,"{24, 9, 2, 28}",195.8080808080808,"{0, 27, 6, 7}",190.49213564213565,195.8080808080808,"{24, 9, 2, 28}",1.0,0.9406862839724656,1.0,0.9728512472825086,174.02639293670654,8.0,206,39,studentmath (30),8
5,"{2, 6, 9, 24, 28}",197.0,"{1, 7, 14, 15, 18}",184.40496818283196,"{2, 6, 24, 9, 28}",197.0,"{0, 36, 6, 7, 27}",190.49213564213565,197.0,"{2, 6, 9, 24, 28}",1.0,0.9360658283392486,1.0,0.9669651555438358,1224.5976362228394,8.0,206,39,studentmath (30),8
1,{2},197.35777777777776,{7},188.17911529461625,{2},197.35777777777776,{6},193.45071352915343,197.35777777777776,{2},1.0,0.953492268779513,1.0,0.9802031402429773,0.08422183990478516,8.5,206,39,studentmath (30),9
2,"{2, 28}",200.1833333333333,"{1, 7}",192.7086405529954,"{2, 28}",200.1833333333333,"{0, 6}",197.0739475500345,200.98846153846154,"{24, 38}",0.9959941570826236,0.9588044959293264,0.9959941570826236,0.9805236879845565,1.7352068424224854,8.5,206,39,studentmath (30),9
3,"{24, 2, 28}",202.2,"{1, 18, 7}",195.2924908424908,"{24, 2, 28}",202.2,"{0, 27, 6}",197.50873015873017,202.2,"{24, 2, 28}",1.0,0.9658382336423877,1.0,0.9767988632973797,21.448569774627686,8.5,206,39,studentmath (30),9
4,"{24, 2, 28, 7}",203.0,"{1, 18, 15, 7}",195.59634230503795,"{24, 2, 28, 7}",203.0,"{0, 27, 6, 7}",198.30873015873016,203.0,"{24, 2, 28, 7}",1.0,0.9635287798277732,1.0,0.9768902963484244,231.05827498435974,8.5,206,39,studentmath (30),9
5,"{24, 2, 28, 7}",203.0,"{1, 7, 14, 15, 18}",195.70348516218084,"{24, 2, 28, 7}",203.0,"{0, 36, 6, 7, 27}",198.38015873015877,203.0,"{24, 2, 28, 7}",1.0,0.9640565771536002,1.0,0.9772421612323092,1464.5105068683624,8.5,206,39,studentmath (30),9
1,{2},201.56729055258467,{7},196.4774966656813,{2},201.56729055258467,{6},197.95024142524144,201.56729055258467,{2},1.0,0.9747489095430613,1.0,0.9820553765572415,0.09539008140563965,9.0,206,39,studentmath (30),10
2,"{2, 28}",202.77941176470588,"{1, 7}",198.8357623857624,"{2, 28}",202.77941176470588,"{0, 6}",200.5642857142857,203.52941176470588,"{24, 28}",0.9963150289017341,0.976938716924266,0.9963150289017341,0.9854314616019817,1.750138282775879,9.0,206,39,studentmath (30),10
3,"{24, 2, 28}",203.52941176470588,"{1, 18, 7}",199.3595719095719,"{24, 2, 28}",203.52941176470588,"{0, 36, 6}",200.5642857142857,204.0,"{0, 24, 7}",0.9976931949250288,0.9772528034782937,0.9976931949250288,0.983158263305322,23.010199785232544,9.0,206,39,studentmath (30),10
4,"{24, 2, 28, 6}",204.0,"{1, 18, 15, 7}",199.5728937728938,"{24, 2, 28, 6}",204.0,"{0, 27, 6, 7}",201.2309523809524,204.0,"{0, 24, 7}",1.0,0.9782984988867343,1.0,0.9864262371615314,237.69512486457825,9.0,206,39,studentmath (30),10
5,"{24, 2, 28, 6}",204.0,"{1, 7, 14, 15, 18}",199.6451282051282,"{24, 2, 28, 6}",204.0,"{0, 36, 6, 7, 27}",201.2309523809524,204.0,"{0, 24, 7}",1.0,0.9786525892408245,1.0,0.9864262371615314,1612.5374178886414,9.0,206,39,studentmath (30),10
1,{2},203.59561128526644,{7},200.10348484848484,{2},203.59561128526644,{6},203.0818181818182,203.59561128526644,{2},1.0,0.9828477322534785,1.0,0.9974764038369749,0.09952306747436523,9.5,206,39,studentmath (30),11
2,"{24, 2}",205.0,"{1, 7}",201.22348484848487,"{24, 2}",205.0,"{36, 6}",203.0818181818182,205.0,"{0, 24}",1.0,0.9815779748706579,1.0,0.9906430155210644,1.9415850639343262,9.5,206,39,studentmath (30),11
3,"{24, 2}",205.0,"{1, 18, 7}",201.82348484848484,"{24, 2}",205.0,"{0, 27, 6}",203.9,205.0,"{0, 24}",1.0,0.9845048041389505,1.0,0.9946341463414634,25.92947816848755,9.5,206,39,studentmath (30),11
