[k](T+),F(S+),S+,[K-k](T-),F(S-),S-,S+ U S-,F(S+ U S-),graphid
2,203.0818181818182,"{0, 6}",2,98.57623558255906,"{8, 36}","{0, 8, 36, 6}",203.0818181818182,11
3,203.9,"{0, 27, 6}",1,96.01257069166263,{36},"{0, 27, 36, 6}",203.9,11
4,203.9,"{0, 27, 6, 7}",0,93.60485813707538,set(),"{0, 27, 6, 7}",203.9,11
0,93.60485813707538,set(),5,107.12925701042482,"{3, 36, 8, 14, 15}","{3, 36, 8, 14, 15}",107.12925701042482,11
1,203.0818181818182,{6},4,104.12584122546741,"{8, 3, 36, 15}","{3, 36, 6, 8, 15}",203.2,11
2,203.0818181818182,"{0, 6}",3,101.62765260304336,"{8, 3, 36}","{0, 3, 36, 6, 8}",203.1818181818182,11
3,203.9,"{0, 27, 6}",2,98.57623558255906,"{8, 36}","{0, 36, 6, 8, 27}",203.9,11
4,203.9,"{0, 27, 6, 7}",1,96.01257069166263,{36},"{0, 36, 6, 7, 27}",203.9,11
5,203.9,"{0, 6, 39, 7, 27}",0,93.60485813707538,set(),"{0, 7, 6, 39, 27}",203.9,11
0,91.68676837959552,set(),1,94.16772881321945,{35},{35},94.16772881321945,12
1,205.0,{6},0,91.68676837959552,set(),{6},205.0,12
0,91.68676837959552,set(),2,96.74876460801651,"{8, 35}","{8, 35}",96.74876460801651,12
1,205.0,{6},1,94.16772881321945,{35},"{35, 6}",205.0,12
2,205.0,"{0, 6}",0,91.68676837959552,set(),"{0, 6}",205.0,12
0,91.68676837959552,set(),3,99.57002093838236,"{8, 3, 35}","{8, 3, 35}",99.57002093838236,12
1,205.0,{6},2,96.74876460801651,"{8, 35}","{8, 35, 6}",205.0,12
2,205.0,"{0, 6}",1,94.16772881321945,{35},"{0, 35, 6}",205.0,12
3,205.0,"{0, 27, 6}",0,91.68676837959552,set(),"{0, 27, 6}",205.0,12
0,91.68676837959552,set(),4,102.28783108975162,"{8, 3, 35, 15}","{8, 3, 35, 15}",102.28783108975162,12
1,205.0,{6},3,99.57002093838236,"{8, 3, 35}","{8, 35, 3, 6}",205.0,12
2,205.0,"{0, 6}",2,96.74876460801651,"{8, 35}","{0, 8, 35, 6}",205.0,12
3,205.0,"{0, 27, 6}",1,94.16772881321945,{35},"{0, 35, 27, 6}",205.0,12
4,205.0,"{0, 27, 6, 7}",0,91.68676837959552,set(),"{0, 27, 6, 7}",205.0,12
0,91.68676837959552,set(),5,105.34194966492863,"{3, 35, 8, 14, 15}","{3, 35, 8, 14, 15}",105.34194966492863,12
1,205.0,{6},4,102.28783108975162,"{8, 3, 35, 15}","{3, 35, 6, 8, 15}",205.0,12
2,205.0,"{0, 6}",3,99.57002093838236,"{8, 3, 35}","{0, 3, 35, 6, 8}",205.0,12
3,205.0,"{0, 27, 6}",2,96.74876460801651,"{8, 35}","{0, 35, 6, 8, 27}",205.0,12
4,205.0,"{0, 27, 6, 7}",1,94.16772881321945,{35},"{0, 35, 6, 7, 27}",205.0,12
5,205.0,"{0, 6, 39, 7, 27}",0,91.68676837959552,set(),"{0, 7, 6, 39, 27}",205.0,12
