[k](T+),F(S+),S+,[K-k](T-),F(S-),S-,S+ U S-,F(S+ U S-),graphid
1,159.33333333333337,{44},4,126.7797619047619,"{40, 1, 36, 4}","{1, 36, 4, 40, 44}",162.2103174603174,8
2,179.44444444444446,"{44, 12}",3,126.1388888888889,"{1, 36, 4}","{1, 36, 4, 44, 12}",181.05555555555551,8
3,184.22222222222229,"{0, 44, 12}",2,125.19444444444446,"{36, 4}","{0, 36, 4, 44, 12}",185.26388888888894,8
4,186.11111111111117,"{0, 19, 44, 12}",1,124.33333333333336,{36},"{0, 19, 36, 44, 12}",186.8055555555556,8
5,191.66666666666669,"{0, 44, 12, 18, 19}",0,123.33333333333336,set(),"{0, 18, 19, 44, 12}",191.66666666666669,8
0,124.79999999999995,set(),1,125.82222222222218,{36},{36},125.82222222222218,9
1,165.49999999999994,{44},0,124.79999999999995,set(),{44},165.49999999999994,9
0,124.79999999999995,set(),2,126.65555555555552,"{36, 4}","{36, 4}",126.65555555555552,9
1,165.49999999999994,{44},1,125.82222222222218,{36},"{44, 36}",166.41111111111107,9
2,186.7,"{44, 12}",0,124.79999999999995,set(),"{44, 12}",186.7,9
0,124.79999999999995,set(),3,127.56388888888887,"{1, 36, 4}","{1, 36, 4}",127.56388888888887,9
1,165.49999999999994,{44},2,126.65555555555552,"{36, 4}","{44, 4, 36}",166.78888888888886,9
2,186.7,"{44, 12}",1,125.82222222222218,{36},"{44, 12, 36}",187.24444444444438,9
3,191.9,"{0, 44, 12}",0,124.79999999999995,set(),"{0, 44, 12}",191.9,9
0,124.79999999999995,set(),4,128.14444444444442,"{40, 1, 36, 4}","{40, 1, 36, 4}",128.14444444444442,9
1,165.49999999999994,{44},3,127.56388888888887,"{1, 36, 4}","{1, 44, 4, 36}",167.5972222222222,9
2,186.7,"{44, 12}",2,126.65555555555552,"{36, 4}","{4, 44, 12, 36}",187.55555555555551,9
3,191.9,"{0, 44, 12}",1,125.82222222222218,{36},"{0, 44, 12, 36}",192.3222222222222,9
4,193.7,"{0, 19, 44, 12}",0,124.79999999999995,set(),"{0, 19, 44, 12}",193.7,9
0,124.79999999999995,set(),5,128.8936507936508,"{1, 36, 4, 40, 11}","{1, 36, 4, 40, 11}",128.8936507936508,9
1,165.49999999999994,{44},4,128.14444444444442,"{40, 1, 36, 4}","{1, 36, 4, 40, 44}",168.06666666666666,9
2,186.7,"{44, 12}",3,127.56388888888887,"{1, 36, 4}","{1, 36, 4, 44, 12}",187.96388888888885,9
3,191.9,"{0, 44, 12}",2,126.65555555555552,"{36, 4}","{0, 36, 4, 44, 12}",192.58888888888887,9
4,193.7,"{0, 19, 44, 12}",1,125.82222222222218,{36},"{0, 19, 36, 44, 12}",194.1222222222222,9
5,198.39999999999998,"{0, 44, 12, 18, 19}",0,124.79999999999995,set(),"{0, 18, 19, 44, 12}",198.39999999999998,9
