K,Sg,F(Sg),Sr,F(Sr),(Sg+ U Sg-)*,F(Sg+ U Sg-)*,(Sr+ U Sr-)*,F(Sr+ U Sr-)*,F(S*),S*,F(Sg)/F(S*),F(Sr)/F(S*),F(Sg+ U Sg-)* / F(S*),F(Sr+ U Sr-)* / F(S*),BFtime,kmax,n,m,dataset,graphid
3,"{42, 44, 28}",192.7142857142857,"{40, 1, 7}",125.49999999999996,"{42, 44, 28}",192.7142857142857,"{0, 44, 12}",167.85714285714275,192.71428571428567,"{42, 28, 44}",1.0000000000000002,0.651223128243143,1.0000000000000002,0.8710155670867306,18.7245512008667,7,224,50,studentportuguese (30),6
4,"{41, 42, 44, 28}",198.8571428571428,"{40, 1, 47, 7}",148.9761904761905,"{41, 42, 44, 28}",198.8571428571428,"{0, 19, 44, 12}",169.71428571428564,198.8571428571428,"{41, 42, 28, 44}",1.0,0.7491618773946364,1.0,0.8534482758620688,233.2689528465271,7,224,50,studentportuguese (30),6
5,"{41, 42, 44, 47, 28}",203.99999999999997,"{1, 7, 40, 47, 17}",150.19523809523812,"{41, 42, 44, 28, 47}",203.99999999999997,"{0, 18, 19, 44, 12}",175.85714285714278,203.99999999999994,"{41, 42, 44, 47, 28}",1.0000000000000002,0.7362511671335205,1.0000000000000002,0.8620448179271707,2128.331691980362,7,224,50,studentportuguese (30),6
1,{42},167.625,{40},122.30357142857144,{42},167.625,{44},153.625,167.625,{42},1.0,0.7296260786193673,1.0,0.9164802386278896,0.05063009262084961,8,224,50,studentportuguese (30),7
2,"{42, 44}",193.0,"{40, 7}",125.625,"{42, 44}",193.0,"{44, 12}",173.0,193.0,"{42, 44}",1.0,0.6509067357512953,1.0,0.8963730569948186,1.2262120246887207,8,224,50,studentportuguese (30),7
3,"{42, 44, 28}",204.5,"{40, 1, 7}",126.51785714285712,"{42, 44, 28}",204.5,"{0, 44, 12}",177.25,204.5,"{42, 28, 44}",1.0,0.618669228082431,1.0,0.8667481662591687,22.98925280570984,8,224,50,studentportuguese (30),7
4,"{41, 42, 44, 28}",209.0,"{40, 1, 47, 7}",154.2142857142857,"{41, 42, 44, 28}",209.0,"{0, 19, 44, 12}",180.0,209.0,"{41, 42, 28, 44}",1.0,0.7378673957621326,1.0,0.861244019138756,278.8221790790558,8,224,50,studentportuguese (30),7
5,"{41, 42, 44, 24, 28}",212.625,"{1, 7, 40, 47, 17}",155.23214285714283,"{24, 41, 42, 44, 28}",212.625,"{0, 18, 19, 44, 12}",185.125,212.625,"{41, 42, 44, 24, 28}",1.0,0.7300747459477617,1.0,0.8706643151087595,2342.792106628418,8,224,50,studentportuguese (30),7
1,{42},174.77777777777789,{40},123.95833333333336,{42},174.77777777777789,{44},159.33333333333337,174.77777777777789,{42},1.0,0.7092339478703112,1.0,0.9116338207247294,0.0525360107421875,9,224,50,studentportuguese (30),8
2,"{42, 44}",202.44444444444449,"{40, 7}",127.2380952380952,"{42, 44}",202.44444444444449,"{44, 12}",179.44444444444446,202.44444444444449,"{42, 44}",1.0,0.628508703151952,1.0,0.8863885839736552,1.2447140216827393,9,224,50,studentportuguese (30),8
3,"{42, 44, 28}",211.6666666666667,"{40, 1, 7}",128.17063492063488,"{42, 44, 28}",211.6666666666667,"{0, 44, 12}",184.22222222222229,211.6666666666667,"{42, 28, 44}",1.0,0.6055305586801647,1.0,0.8703412073490815,21.602420806884766,9,224,50,studentportuguese (30),8
4,"{41, 42, 44, 28}",215.5555555555556,"{40, 1, 47, 7}",159.24007936507945,"{41, 42, 44, 28}",215.5555555555556,"{0, 19, 44, 12}",186.1111111111112,215.5555555555556,"{41, 42, 28, 44}",1.0,0.7387426362297499,1.0,0.8634020618556704,272.63877296447754,9,224,50,studentportuguese (30),8
5,"{6, 41, 42, 44, 28}",218.5555555555556,"{1, 7, 40, 47, 17}",160.09126984126985,"{6, 41, 42, 44, 28}",218.5555555555556,"{0, 18, 19, 44, 12}",191.66666666666669,218.55555555555557,"{6, 41, 42, 44, 28}",1.0000000000000002,0.7324969133560898,1.0000000000000002,0.8769700050838841,2471.6275839805603,9,224,50,studentportuguese (30),8
1,{42},179.09999999999997,{40},125.3666666666666,{42},179.09999999999997,{44},165.49999999999994,179.09999999999997,{42},1.0,0.6999813884235992,1.0,0.9240647682858737,0.06026315689086914,10,224,50,studentportuguese (30),9
2,"{42, 44}",207.6,"{40, 7}",128.73333333333332,"{42, 44}",207.6,"{44, 12}",186.7,207.6,"{42, 44}",1.0,0.6201027617212588,1.0,0.8993256262042388,1.4246482849121094,10,224,50,studentportuguese (30),9
3,"{42, 44, 28}",215.7,"{40, 1, 7}",129.6638888888889,"{42, 44, 28}",215.7,"{0, 44, 12}",191.9,215.7,"{42, 28, 44}",1.0,0.6011306856230362,1.0,0.8896615669911916,23.834568977355957,10,224,50,studentportuguese (30),9
4,"{42, 44, 28, 14}",218.8,"{40, 1, 47, 7}",164.70833333333334,"{42, 44, 28, 14}",218.8,"{0, 19, 44, 12}",193.7,218.79999999999998,"{42, 28, 14, 44}",1.0000000000000002,0.7527803168799514,1.0000000000000002,0.8852833638025595,282.37531304359436,10,224,50,studentportuguese (30),9
5,"{39, 42, 44, 14, 28}",221.0,"{1, 7, 40, 47, 17}",165.64722222222227,"{39, 42, 44, 28, 14}",221.0,"{0, 18, 19, 44, 12}",198.4,221.2,"{39, 41, 42, 44, 28}",0.9990958408679929,0.7488572433192688,0.9990958408679929,0.8969258589511755,2631.286695241928,10,224,50,studentportuguese (30),9
