[k](T+),F(S+),S+,[K-k](T-),F(S-),S-,S+ U S-,F(S+ U S-),graphid
5,99.11111111111109,"{2, 12, 21, 22, 25}",0,85.33333333333326,set(),"{2, 21, 22, 25, 12}",99.11111111111109,8
0,85.6,set(),1,86.04444444444444,{29},{29},86.04444444444444,9
1,91.50000000000001,{12},0,85.6,set(),{12},91.50000000000001,9
0,85.6,set(),2,86.24444444444443,"{29, 7}","{29, 7}",86.24444444444443,9
1,91.50000000000001,{12},1,86.04444444444444,{29},"{12, 29}",91.94444444444444,9
2,97.1,"{2, 12}",0,85.6,set(),"{2, 12}",97.1,9
0,85.6,set(),3,88.04444444444444,"{34, 29, 7}","{34, 29, 7}",88.04444444444444,9
1,91.50000000000001,{12},2,86.24444444444443,"{29, 7}","{12, 29, 7}",92.02222222222221,9
2,97.1,"{2, 12}",1,86.04444444444444,{29},"{2, 12, 29}",97.54444444444444,9
3,98.29999999999997,"{25, 2, 12}",0,85.6,set(),"{25, 2, 12}",98.29999999999997,9
0,85.6,set(),4,91.2055555555555,"{34, 44, 29, 7}","{34, 44, 29, 7}",91.2055555555555,9
1,91.50000000000001,{12},3,88.04444444444444,"{34, 29, 7}","{34, 12, 29, 7}",93.75555555555556,9
2,97.1,"{2, 12}",2,86.24444444444443,"{29, 7}","{2, 12, 29, 7}",97.54444444444444,9
3,98.29999999999997,"{25, 2, 12}",1,86.04444444444444,{29},"{25, 2, 12, 29}",98.74444444444443,9
4,99.99999999999999,"{25, 2, 12, 22}",0,85.6,set(),"{25, 2, 12, 22}",99.99999999999999,9
0,85.6,set(),5,93.17817460317451,"{34, 7, 44, 28, 29}","{34, 29, 7, 44, 28}",93.17817460317451,9
1,91.50000000000001,{12},4,91.2055555555555,"{34, 44, 29, 7}","{34, 7, 12, 29, 44}",94.98888888888885,9
2,97.1,"{2, 12}",3,88.04444444444444,"{34, 29, 7}","{2, 34, 7, 12, 29}",99.27777777777777,9
3,98.29999999999997,"{25, 2, 12}",2,86.24444444444443,"{29, 7}","{2, 7, 25, 12, 29}",98.74444444444443,9
4,99.99999999999999,"{25, 2, 12, 22}",1,86.04444444444444,{29},"{2, 22, 25, 12, 29}",100.44444444444444,9
5,100.6,"{2, 12, 21, 22, 25}",0,85.6,set(),"{2, 21, 22, 25, 12}",100.6,9
