K,Sg,F(Sg),Sr,F(Sr),(Sg+ U Sg-)*,F(Sg+ U Sg-)*,(Sr+ U Sr-)*,F(Sr+ U Sr-)*,F(S*),S*,F(Sg)/F(S*),F(Sr)/F(S*),F(Sg+ U Sg-)* / F(S*),F(Sr+ U Sr-)* / F(S*),BFtime,kmax,n,m,dataset,graphid
1,{16},88.25,{44},86.0,{16},88.25,{12},84.25,88.25,{16},1.0,0.9745042492917847,1.0,0.9546742209631728,0.013555049896240234,4,112,46,productivity (11),3
2,"{16, 35}",93.5,"{9, 44}",89.25,"{16, 35}",93.5,"{2, 12}",86.75,93.5,"{16, 35}",1.0,0.9545454545454546,1.0,0.9278074866310161,0.3273160457611084,4,112,46,productivity (11),3
3,"{16, 27, 35}",98.0,"{9, 2, 44}",91.75,"{16, 27, 35}",98.0,"{2, 26, 12}",92.5,98.0,"{16, 35, 27}",1.0,0.9362244897959183,1.0,0.9438775510204082,5.130112886428833,4,112,46,productivity (11),3
4,"{16, 27, 35, 44}",101.25,"{9, 2, 44, 20}",92.25,"{16, 27, 35, 24}",101.0,"{24, 2, 26, 12}",95.5,101.25,"{16, 35, 27, 44}",1.0,0.9111111111111111,0.9975308641975309,0.9432098765432099,67.61858034133911,4,112,46,productivity (11),3
5,"{35, 44, 16, 24, 27}",104.25,"{2, 9, 44, 18, 20}",96.16666666666669,"{16, 35, 38, 24, 27}",103.75,"{2, 22, 24, 26, 12}",96.25,104.25,"{35, 44, 16, 24, 27}",1.0,0.9224620303756996,0.9952038369304557,0.9232613908872902,512.9802539348602,4,112,46,productivity (11),3
1,{27},89.19999999999996,{42},84.39999999999989,{27},89.19999999999996,{12},83.9999999999999,89.19999999999996,{27},1.0,0.9461883408071741,1.0,0.9417040358744387,0.024151086807250977,5,112,48,productivity (11),4
2,"{10, 27}",95.59999999999997,"{9, 42}",87.99999999999987,"{10, 27}",95.59999999999997,"{2, 12}",88.39999999999995,95.59999999999997,"{10, 27}",1.0,0.9205020920502082,1.0,0.924686192468619,0.45279383659362793,5,112,48,productivity (11),4
3,"{16, 10, 27}",100.39999999999996,"{9, 42, 2}",91.59999999999992,"{16, 10, 27}",100.39999999999996,"{2, 12, 29}",88.74999999999994,100.39999999999996,"{16, 10, 27}",1.0,0.9123505976095613,1.0,0.8839641434262946,7.253983974456787,5,112,48,productivity (11),4
4,"{16, 1, 10, 27}",103.39999999999996,"{9, 42, 2, 49}",94.39999999999992,"{16, 1, 10, 27}",103.39999999999996,"{34, 44, 29, 7}",89.68333333333325,103.79999999999998,"{16, 38, 10, 30}",0.9961464354527937,0.9094412331406545,0.9961464354527937,0.8640012845215151,86.4528419971466,5,112,48,productivity (11),4
5,"{1, 10, 44, 16, 27}",106.14999999999998,"{2, 9, 42, 49, 19}",94.39999999999992,"{16, 1, 38, 10, 27}",105.99999999999996,"{2, 34, 7, 12, 29}",91.63333333333328,106.79999999999998,"{1, 38, 10, 16, 30}",0.9939138576779025,0.8838951310861417,0.9925093632958799,0.8579900124843942,751.3171799182892,5,112,48,productivity (11),4
